[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet dataset=lerobot/libero_spatial_image -> act_results/Spatial/runs/act_deeponet
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 83.5 GB for 52970 items (avail 256 GB)
[ramcache] 10000/52970  (166s)
[ramcache] 20000/52970  (312s)
[ramcache] 30000/52970  (459s)
[ramcache] 40000/52970  (605s)
[ramcache] 50000/52970  (751s)
[ramcache] cached 52970 items in 12.6 min
[train] params=60.71M frames=52970 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act_deeponet] step  16800 | l1=0.1097 total=0.158 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step  17000 | l1=0.1097 total=0.150 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  17200 | l1=0.1100 total=0.180 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  17400 | l1=0.1084 total=0.158 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  17600 | l1=0.1075 total=0.148 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  17800 | l1=0.1081 total=0.177 phgate=- act=0 | VRAM=6.41GB | 0.087s/it
[act_deeponet] step  18000 | l1=0.1064 total=0.146 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  18200 | l1=0.1078 total=0.187 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step  18400 | l1=0.1062 total=0.186 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step  18600 | l1=0.1053 total=0.161 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  18800 | l1=0.1067 total=0.172 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  19000 | l1=0.1053 total=0.178 phgate=- act=0 | VRAM=6.41GB | 0.073s/it
[act_deeponet] step  19200 | l1=0.1057 total=0.172 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  19400 | l1=0.1039 total=0.175 phgate=- act=0 | VRAM=6.41GB | 0.075s/it
[act_deeponet] step  19600 | l1=0.1036 total=0.158 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step  19800 | l1=0.1036 total=0.174 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  20000 | l1=0.1032 total=0.158 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[ckpt] saved -> act_results/Spatial/runs/act_deeponet/checkpoints/20000 (EMA weights)
[act_deeponet] step  20200 | l1=0.1019 total=0.147 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  20400 | l1=0.1033 total=0.148 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  20600 | l1=0.1026 total=0.169 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  20800 | l1=0.1009 total=0.136 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step  21000 | l1=0.1016 total=0.144 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step  21200 | l1=0.1018 total=0.135 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  21400 | l1=0.1000 total=0.149 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  21600 | l1=0.1003 total=0.150 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step  21800 | l1=0.1003 total=0.156 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  22000 | l1=0.0986 total=0.165 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  22200 | l1=0.0991 total=0.154 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  22400 | l1=0.0997 total=0.152 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step  22600 | l1=0.0981 total=0.186 phgate=- act=0 | VRAM=6.41GB | 0.075s/it
[act_deeponet] step  22800 | l1=0.0981 total=0.142 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  23000 | l1=0.0974 total=0.157 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  23200 | l1=0.0986 total=0.152 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  23400 | l1=0.0970 total=0.166 phgate=- act=0 | VRAM=6.41GB | 0.076s/it
[act_deeponet] step  23600 | l1=0.0973 total=0.150 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step  23800 | l1=0.0969 total=0.147 phgate=- act=0 | VRAM=6.41GB | 0.086s/it
[act_deeponet] step  24000 | l1=0.0956 total=0.170 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[act_deeponet] step  24200 | l1=0.0953 total=0.183 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step  24400 | l1=0.0950 total=0.149 phgate=- act=0 | VRAM=6.41GB | 0.086s/it
[act_deeponet] step  24600 | l1=0.0965 total=0.152 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  24800 | l1=0.0951 total=0.127 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step  25000 | l1=0.0954 total=0.133 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[ckpt] saved -> act_results/Spatial/runs/act_deeponet/checkpoints/25000 (EMA weights)
[act_deeponet] step  25200 | l1=0.0944 total=0.177 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step  25400 | l1=0.0937 total=0.138 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  25600 | l1=0.0939 total=0.122 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step  25800 | l1=0.0940 total=0.158 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step  26000 | l1=0.0935 total=0.131 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[act_deeponet] step  26200 | l1=0.0930 total=0.122 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step  26400 | l1=0.0928 total=0.163 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  26600 | l1=0.0919 total=0.166 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  26800 | l1=0.0922 total=0.131 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step  27000 | l1=0.0923 total=0.171 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  27200 | l1=0.0920 total=0.171 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  27400 | l1=0.0918 total=0.169 phgate=- act=0 | VRAM=6.41GB | 0.075s/it
[act_deeponet] step  27600 | l1=0.0909 total=0.111 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  27800 | l1=0.0913 total=0.135 phgate=- act=0 | VRAM=6.41GB | 0.076s/it
[act_deeponet] step  28000 | l1=0.0905 total=0.148 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  28200 | l1=0.0898 total=0.175 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  28400 | l1=0.0905 total=0.155 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step  28600 | l1=0.0901 total=0.169 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  28800 | l1=0.0897 total=0.175 phgate=- act=0 | VRAM=6.41GB | 0.075s/it
[act_deeponet] step  29000 | l1=0.0907 total=0.147 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step  29200 | l1=0.0886 total=0.137 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  29400 | l1=0.0895 total=0.153 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  29600 | l1=0.0889 total=0.141 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step  29800 | l1=0.0892 total=0.155 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step  30000 | l1=0.0891 total=0.139 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[ckpt] saved -> act_results/Spatial/runs/act_deeponet/checkpoints/30000 (EMA weights)
[train] DONE act_deeponet steps=30000 wall=40.6min -> act_results/Spatial/runs/act_deeponet
