[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet dataset=lerobot/libero_goal_image -> act_results/Goal/runs/act_deeponet
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 82.0 GB for 52042 items (avail 254 GB)
[ramcache] 10000/52042  (171s)
[ramcache] 20000/52042  (318s)
[ramcache] 30000/52042  (465s)
[ramcache] 40000/52042  (612s)
[ramcache] 50000/52042  (747s)
[ramcache] cached 52042 items in 12.5 min
[train] params=60.71M frames=52042 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act_deeponet] step  21000 | l1=0.0880 total=0.160 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  21200 | l1=0.0864 total=0.154 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  21400 | l1=0.0860 total=0.128 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  21600 | l1=0.0861 total=0.168 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  21800 | l1=0.0860 total=0.142 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  22000 | l1=0.0854 total=0.161 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  22200 | l1=0.0846 total=0.142 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  22400 | l1=0.0850 total=0.151 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step  22600 | l1=0.0848 total=0.132 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  22800 | l1=0.0841 total=0.157 phgate=- act=0 | VRAM=6.41GB | 0.086s/it
[act_deeponet] step  23000 | l1=0.0839 total=0.137 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  23200 | l1=0.0837 total=0.139 phgate=- act=0 | VRAM=6.41GB | 0.075s/it
[act_deeponet] step  23400 | l1=0.0839 total=0.164 phgate=- act=0 | VRAM=6.41GB | 0.090s/it
[act_deeponet] step  23600 | l1=0.0835 total=0.121 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[act_deeponet] step  23800 | l1=0.0826 total=0.155 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  24000 | l1=0.0825 total=0.167 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
