[train] num_workers -> 48 (cores=56)
[train] variant=act dataset=lerobot/libero_object_image -> act_results/Object/runs/act
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 105.6 GB for 66984 items (avail 256 GB)
[ramcache] 10000/66984  (173s)
[ramcache] 20000/66984  (322s)
[ramcache] 30000/66984  (471s)
[ramcache] 40000/66984  (619s)
[ramcache] 50000/66984  (766s)
[ramcache] 60000/66984  (916s)
[ramcache] cached 66984 items in 16.3 min
[train] params=88.28M frames=66984 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act] step  21800 | l1=0.0573 total=0.111 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  22000 | l1=0.0562 total=0.105 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  22200 | l1=0.0560 total=0.090 phgate=- act=0 | VRAM=9.27GB | 0.098s/it
[act] step  22400 | l1=0.0559 total=0.112 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  22600 | l1=0.0554 total=0.130 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  22800 | l1=0.0561 total=0.075 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  23000 | l1=0.0557 total=0.137 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  23200 | l1=0.0546 total=0.144 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[act] step  23400 | l1=0.0548 total=0.129 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  23600 | l1=0.0548 total=0.095 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  23800 | l1=0.0548 total=0.099 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  24000 | l1=0.0536 total=0.125 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  24200 | l1=0.0543 total=0.121 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[act] step  24400 | l1=0.0538 total=0.091 phgate=- act=0 | VRAM=9.27GB | 0.097s/it
[act] step  24600 | l1=0.0536 total=0.108 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  24800 | l1=0.0536 total=0.085 phgate=- act=0 | VRAM=9.27GB | 0.097s/it
[act] step  25000 | l1=0.0538 total=0.118 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[ckpt] saved -> act_results/Object/runs/act/checkpoints/25000 (EMA weights)
[act] step  25200 | l1=0.0525 total=0.126 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  25400 | l1=0.0535 total=0.138 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  25600 | l1=0.0518 total=0.132 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  25800 | l1=0.0530 total=0.105 phgate=- act=0 | VRAM=9.27GB | 0.098s/it
