[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet dataset=lerobot/libero_object_image -> act_results/Object/runs/act_deeponet
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 105.6 GB for 66984 items (avail 256 GB)
[ramcache] 10000/66984  (174s)
[ramcache] 20000/66984  (325s)
[ramcache] 30000/66984  (476s)
[ramcache] 40000/66984  (627s)
[ramcache] 50000/66984  (776s)
[ramcache] 60000/66984  (925s)
[ramcache] cached 66984 items in 16.5 min
[train] params=60.71M frames=66984 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act_deeponet] step  25200 | l1=0.1008 total=0.152 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  25400 | l1=0.0995 total=0.129 phgate=- act=0 | VRAM=6.41GB | 0.075s/it
[act_deeponet] step  25600 | l1=0.0986 total=0.154 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  25800 | l1=0.0997 total=0.194 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  26000 | l1=0.0991 total=0.156 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step  26200 | l1=0.0992 total=0.130 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  26400 | l1=0.0969 total=0.130 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step  26600 | l1=0.0985 total=0.149 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  26800 | l1=0.0986 total=0.149 phgate=- act=0 | VRAM=6.41GB | 0.087s/it
[act_deeponet] step  27000 | l1=0.0976 total=0.139 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step  27200 | l1=0.0969 total=0.160 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step  27400 | l1=0.0965 total=0.169 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  27600 | l1=0.0962 total=0.129 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step  27800 | l1=0.0964 total=0.132 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  28000 | l1=0.0964 total=0.188 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step  28200 | l1=0.0962 total=0.136 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step  28400 | l1=0.0951 total=0.157 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  28600 | l1=0.0952 total=0.140 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  28800 | l1=0.0958 total=0.131 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step  29000 | l1=0.0937 total=0.147 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step  29200 | l1=0.0948 total=0.117 phgate=- act=0 | VRAM=6.41GB | 0.075s/it
[act_deeponet] step  29400 | l1=0.0945 total=0.187 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step  29600 | l1=0.0940 total=0.154 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  29800 | l1=0.0935 total=0.167 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step  30000 | l1=0.0932 total=0.173 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[ckpt] saved -> act_results/Object/runs/act_deeponet/checkpoints/30000 (EMA weights)
[train] DONE act_deeponet steps=30000 wall=40.5min -> act_results/Object/runs/act_deeponet
