[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet_ph dataset=lerobot/libero_10_image -> act_results/Long/runs/act_deeponet_ph
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 159.9 GB for 101469 items (avail 254 GB)
[ramcache] 10000/101469  (177s)
[ramcache] 20000/101469  (327s)
[ramcache] 30000/101469  (478s)
[ramcache] 40000/101469  (628s)
[ramcache] 50000/101469  (778s)
[ramcache] 60000/101469  (929s)
[ramcache] 70000/101469  (1080s)
[ramcache] 80000/101469  (1230s)
[ramcache] 90000/101469  (1381s)
[ramcache] 100000/101469  (1513s)
[ramcache] cached 101469 items in 25.3 min
[train] params=60.71M frames=101469 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act_deeponet_ph] step  18400 | l1=0.2237 total=0.316 phgate=active act=0.078 | VRAM=6.41GB | 0.087s/it
[act_deeponet_ph] step  18600 | l1=0.2230 total=0.274 phgate=active act=0.062 | VRAM=6.41GB | 0.088s/it
[act_deeponet_ph] step  18800 | l1=0.2214 total=0.323 phgate=active act=0.078 | VRAM=6.41GB | 0.089s/it
[act_deeponet_ph] step  19000 | l1=0.2209 total=0.278 phgate=active act=0.125 | VRAM=6.41GB | 0.075s/it
[act_deeponet_ph] step  19200 | l1=0.2214 total=0.292 phgate=active act=0.016 | VRAM=6.41GB | 0.088s/it
[act_deeponet_ph] step  19400 | l1=0.2187 total=0.294 phgate=active act=0.156 | VRAM=6.41GB | 0.084s/it
[act_deeponet_ph] step  19600 | l1=0.2219 total=0.342 phgate=active act=0.141 | VRAM=6.41GB | 0.087s/it
[act_deeponet_ph] step  19800 | l1=0.2187 total=0.268 phgate=active act=0.109 | VRAM=6.41GB | 0.090s/it
[act_deeponet_ph] step  20000 | l1=0.2187 total=0.291 phgate=active act=0.047 | VRAM=6.41GB | 0.082s/it
[ckpt] saved -> act_results/Long/runs/act_deeponet_ph/checkpoints/20000 (EMA weights)
[act_deeponet_ph] step  20200 | l1=0.2172 total=0.297 phgate=active act=0.125 | VRAM=6.41GB | 0.084s/it
[act_deeponet_ph] step  20400 | l1=0.2153 total=0.320 phgate=active act=0.047 | VRAM=6.41GB | 0.085s/it
[act_deeponet_ph] step  20600 | l1=0.2157 total=0.264 phgate=active act=0.141 | VRAM=6.41GB | 0.076s/it
[act_deeponet_ph] step  20800 | l1=0.2153 total=0.275 phgate=active act=0.031 | VRAM=6.41GB | 0.083s/it
[act_deeponet_ph] step  21000 | l1=0.2153 total=0.305 phgate=active act=0.094 | VRAM=6.41GB | 0.085s/it
[act_deeponet_ph] step  21200 | l1=0.2146 total=0.320 phgate=active act=0.125 | VRAM=6.41GB | 0.090s/it
[act_deeponet_ph] step  21400 | l1=0.2141 total=0.254 phgate=active act=0.031 | VRAM=6.41GB | 0.080s/it
[act_deeponet_ph] step  21600 | l1=0.2128 total=0.285 phgate=active act=0.031 | VRAM=6.41GB | 0.086s/it
[act_deeponet_ph] step  21800 | l1=0.2129 total=0.319 phgate=active act=0.062 | VRAM=6.41GB | 0.083s/it
[act_deeponet_ph] step  22000 | l1=0.2128 total=0.301 phgate=active act=0.188 | VRAM=6.41GB | 0.090s/it
[act_deeponet_ph] step  22200 | l1=0.2111 total=0.280 phgate=active act=0.047 | VRAM=6.41GB | 0.102s/it
