[train] num_workers -> 48 (cores=56)
[train] variant=act dataset=lerobot/libero_10_image -> act_results/Long/runs/act
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 159.9 GB for 101469 items (avail 256 GB)
[ramcache] 10000/101469  (171s)
[ramcache] 20000/101469  (320s)
[ramcache] 30000/101469  (469s)
[ramcache] 40000/101469  (617s)
[ramcache] 50000/101469  (764s)
[ramcache] 60000/101469  (912s)
[ramcache] 70000/101469  (1061s)
[ramcache] 80000/101469  (1206s)
[ramcache] 90000/101469  (1354s)
[ramcache] 100000/101469  (1482s)
[ramcache] cached 101469 items in 24.7 min
[train] params=88.28M frames=101469 batch=64 steps=30000
[act] step  28000 | l1=0.1013 total=0.135 phgate=- act=0 | VRAM=9.27GB | 0.110s/it
[act] step  28200 | l1=0.1006 total=0.144 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  28400 | l1=0.1005 total=0.152 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  28600 | l1=0.0999 total=0.181 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  28800 | l1=0.0994 total=0.170 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  29000 | l1=0.0988 total=0.148 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  29200 | l1=0.0986 total=0.144 phgate=- act=0 | VRAM=9.27GB | 0.096s/it
[act] step  29400 | l1=0.0989 total=0.124 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step  29600 | l1=0.0990 total=0.137 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  29800 | l1=0.0988 total=0.170 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step  30000 | l1=0.0980 total=0.127 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[ckpt] saved -> act_results/Long/runs/act/checkpoints/30000 (EMA weights)
[train] DONE act steps=30000 wall=52.4min -> act_results/Long/runs/act
