[train] head=flow variant=baseline seed=0 out=../paper_repro/Spatial/runs/flow_s0
`torch_dtype` is deprecated! Use `dtype` instead!
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Reducing the number of VLM layers to 16 ...
[train] dataset frames=52970 episodes=432 -> 1 epoch = 1104 steps @ batch 48
[train] planned frames seen = 1440000 = 27.19 epochs

=== stage1 | steps=1650 batch=48 trainable: head=99.88M backbone=0.0M ===
[stage2] step  16049 | mse=0.0817 L1=0.1413 PH=0.0000 total=0.0817 | VRAM=53.6GB | 0.674s/it
[stage2] step  16249 | mse=0.0784 L1=0.1405 PH=0.0000 total=0.0784 | VRAM=53.6GB | 0.676s/it
[stage2] step  16449 | mse=0.0794 L1=0.1401 PH=0.0000 total=0.0794 | VRAM=53.6GB | 3.205s/it
[stage2] step  16649 | mse=0.0805 L1=0.1411 PH=0.0000 total=0.0805 | VRAM=53.6GB | 1.527s/it
[stage2] step  16849 | mse=0.0797 L1=0.1405 PH=0.0000 total=0.0797 | VRAM=53.6GB | 5.057s/it
[stage2] step  17049 | mse=0.0802 L1=0.1397 PH=0.0000 total=0.0802 | VRAM=53.6GB | 4.967s/it
[stage2] step  17249 | mse=0.0780 L1=0.1413 PH=0.0000 total=0.0780 | VRAM=53.6GB | 0.675s/it
[stage2] step  17449 | mse=0.0769 L1=0.1383 PH=0.0000 total=0.0769 | VRAM=53.6GB | 0.675s/it
[stage2] step  17649 | mse=0.0777 L1=0.1393 PH=0.0000 total=0.0777 | VRAM=53.6GB | 0.673s/it
[stage2] step  17849 | mse=0.0772 L1=0.1393 PH=0.0000 total=0.0772 | VRAM=53.6GB | 0.678s/it
[stage2] step  18049 | mse=0.0772 L1=0.1383 PH=0.0000 total=0.0772 | VRAM=53.6GB | 0.675s/it
[stage2] step  18249 | mse=0.0777 L1=0.1388 PH=0.0000 total=0.0777 | VRAM=53.6GB | 0.677s/it
[stage2] step  18449 | mse=0.0747 L1=0.1378 PH=0.0000 total=0.0747 | VRAM=53.6GB | 0.672s/it
[stage2] step  18649 | mse=0.0755 L1=0.1360 PH=0.0000 total=0.0755 | VRAM=53.6GB | 0.667s/it
[stage2] step  18849 | mse=0.0747 L1=0.1373 PH=0.0000 total=0.0747 | VRAM=53.6GB | 0.680s/it
[stage2] step  19049 | mse=0.0758 L1=0.1367 PH=0.0000 total=0.0758 | VRAM=53.6GB | 0.673s/it
[stage2] step  19249 | mse=0.0755 L1=0.1367 PH=0.0000 total=0.0755 | VRAM=53.6GB | 0.674s/it
[stage2] step  19449 | mse=0.0731 L1=0.1378 PH=0.0000 total=0.0731 | VRAM=53.6GB | 0.675s/it
[stage2] step  19649 | mse=0.0735 L1=0.1351 PH=0.0000 total=0.0735 | VRAM=53.6GB | 1.031s/it
[stage2] step  19849 | mse=0.0728 L1=0.1341 PH=0.0000 total=0.0728 | VRAM=53.6GB | 0.672s/it
[stage2] step  20049 | mse=0.0721 L1=0.1371 PH=0.0000 total=0.0721 | VRAM=53.6GB | 0.718s/it
[stage2] step  20249 | mse=0.0730 L1=0.1347 PH=0.0000 total=0.0730 | VRAM=53.6GB | 0.671s/it
[stage2] step  20449 | mse=0.0721 L1=0.1349 PH=0.0000 total=0.0721 | VRAM=53.6GB | 5.456s/it
[stage2] step  20649 | mse=0.0706 L1=0.1335 PH=0.0000 total=0.0706 | VRAM=53.6GB | 2.857s/it
[stage2] step  20849 | mse=0.0709 L1=0.1335 PH=0.0000 total=0.0709 | VRAM=53.6GB | 0.674s/it
[stage2] step  21049 | mse=0.0708 L1=0.1353 PH=0.0000 total=0.0708 | VRAM=53.6GB | 0.675s/it
[stage2] step  21249 | mse=0.0706 L1=0.1347 PH=0.0000 total=0.0706 | VRAM=53.6GB | 0.681s/it
[stage2] step  21449 | mse=0.0706 L1=0.1360 PH=0.0000 total=0.0706 | VRAM=53.6GB | 0.721s/it
[stage2] step  21649 | mse=0.0697 L1=0.1336 PH=0.0000 total=0.0697 | VRAM=53.6GB | 0.669s/it
[ckpt] saved -> ../paper_repro/Spatial/runs/flow_s0/checkpoints/21650  (EMA weights)
[stage2] step  21849 | mse=0.0684 L1=0.1336 PH=0.0000 total=0.0684 | VRAM=53.6GB | 0.671s/it
[stage2] step  22049 | mse=0.0673 L1=0.1339 PH=0.0000 total=0.0673 | VRAM=53.6GB | 0.674s/it
[stage2] step  22249 | mse=0.0672 L1=0.1366 PH=0.0000 total=0.0672 | VRAM=53.6GB | 0.674s/it
[stage2] step  22449 | mse=0.0689 L1=0.1340 PH=0.0000 total=0.0689 | VRAM=53.6GB | 0.675s/it
[stage2] step  22649 | mse=0.0678 L1=0.1324 PH=0.0000 total=0.0678 | VRAM=53.6GB | 0.666s/it
[stage2] step  22849 | mse=0.0666 L1=0.1327 PH=0.0000 total=0.0666 | VRAM=53.6GB | 4.570s/it
[stage2] step  23049 | mse=0.0684 L1=0.1324 PH=0.0000 total=0.0684 | VRAM=53.6GB | 5.227s/it
[stage2] step  23249 | mse=0.0685 L1=0.1320 PH=0.0000 total=0.0685 | VRAM=53.6GB | 5.380s/it
[stage2] step  23449 | mse=0.0674 L1=0.1328 PH=0.0000 total=0.0674 | VRAM=53.6GB | 4.810s/it
[stage2] step  23649 | mse=0.0645 L1=0.1331 PH=0.0000 total=0.0645 | VRAM=53.6GB | 5.109s/it
[stage2] step  23849 | mse=0.0672 L1=0.1309 PH=0.0000 total=0.0672 | VRAM=53.6GB | 0.711s/it
[stage2] step  24049 | mse=0.0651 L1=0.1319 PH=0.0000 total=0.0651 | VRAM=53.6GB | 0.682s/it
[stage2] step  24249 | mse=0.0665 L1=0.1311 PH=0.0000 total=0.0665 | VRAM=53.6GB | 1.813s/it
[stage2] step  24449 | mse=0.0630 L1=0.1305 PH=0.0000 total=0.0630 | VRAM=53.6GB | 3.171s/it
[stage2] step  24649 | mse=0.0656 L1=0.1316 PH=0.0000 total=0.0656 | VRAM=53.6GB | 1.363s/it
[stage2] step  24849 | mse=0.0665 L1=0.1305 PH=0.0000 total=0.0665 | VRAM=53.6GB | 0.838s/it
[stage2] step  25049 | mse=0.0639 L1=0.1311 PH=0.0000 total=0.0639 | VRAM=53.6GB | 0.850s/it
