[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet dataset=lerobot/libero_object_image -> act_results_gripfix/Object/runs/act_deeponet
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 105.6 GB for 66984 items (avail 254 GB)
[ramcache] 10000/66984  (178s)
[ramcache] 20000/66984  (331s)
[ramcache] 30000/66984  (483s)
[ramcache] 40000/66984  (636s)
[ramcache] 50000/66984  (789s)
[ramcache] 60000/66984  (941s)
[ramcache] cached 66984 items in 16.8 min
[train] params=61.80M frames=66984 batch=64 steps=30000
[act_deeponet] step  19400 | l1=0.1073 total=0.158 phgate=- act=0 | VRAM=6.44GB | 0.081s/it
[act_deeponet] step  19600 | l1=0.1069 total=0.165 phgate=- act=0 | VRAM=6.44GB | 0.080s/it
[act_deeponet] step  19800 | l1=0.1069 total=0.157 phgate=- act=0 | VRAM=6.44GB | 0.081s/it
[act_deeponet] step  20000 | l1=0.1045 total=0.179 phgate=- act=0 | VRAM=6.44GB | 0.080s/it
[act_deeponet] step  20200 | l1=0.1049 total=0.181 phgate=- act=0 | VRAM=6.44GB | 0.085s/it
[act_deeponet] step  20400 | l1=0.1045 total=0.157 phgate=- act=0 | VRAM=6.44GB | 0.083s/it
[act_deeponet] step  20600 | l1=0.1054 total=0.136 phgate=- act=0 | VRAM=6.44GB | 0.076s/it
[act_deeponet] step  20800 | l1=0.1041 total=0.124 phgate=- act=0 | VRAM=6.44GB | 0.086s/it
[act_deeponet] step  21000 | l1=0.1035 total=0.159 phgate=- act=0 | VRAM=6.44GB | 0.077s/it
[act_deeponet] step  21200 | l1=0.1026 total=0.188 phgate=- act=0 | VRAM=6.44GB | 0.076s/it
[act_deeponet] step  21400 | l1=0.1023 total=0.181 phgate=- act=0 | VRAM=6.44GB | 0.075s/it
[act_deeponet] step  21600 | l1=0.1025 total=0.160 phgate=- act=0 | VRAM=6.44GB | 0.080s/it
[act_deeponet] step  21800 | l1=0.1019 total=0.146 phgate=- act=0 | VRAM=6.44GB | 0.081s/it
